<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
050424;134200;92.3325;92.3325;92.33;92.33;120000
050424;134300;92.3325;92.3325;92.33;92.3325;900000
050424;134400;92.33;92.35;92.33;92.3475;1366000
050424;134500;92.3475;92.38;92.3475;92.3725;1754000
050424;134600;92.3675;92.3675;92.3525;92.3525;370000
050424;134700;92.3575;92.3675;92.3525;92.36;787000
050424;134800;92.36;92.3625;92.3525;92.3575;341000
050424;134900;92.355;92.3675;92.3525;92.36;276000
050424;135000;92.3525;92.365;92.3525;92.3575;424000
050424;135100;92.3575;92.375;92.3575;92.3675;503000
050424;135200;92.37;92.37;92.345;92.345;810000
050424;135300;92.34;92.3425;92.335;92.3425;282000
050424;135400;92.34;92.385;92.34;92.3775;5446000
050424;135500;92.375;92.3825;92.375;92.375;878000
050424;135600;92.375;92.3775;92.375;92.3775;378000
050424;135700;92.38;92.385;92.38;92.3825;297000
050424;135800;92.3875;92.4025;92.385;92.4;969000
050424;135900;92.405;92.405;92.375;92.375;1315000
050424;140000;92.375;92.38;92.375;92.3775;355000
050424;140100;92.375;92.4125;92.37;92.405;2514000
050424;140200;92.41;92.42;92.41;92.42;847000
050424;140300;92.4175;92.42;92.4075;92.4075;1130000
050424;140400;92.4075;92.4125;92.4025;92.4025;826000
050424;140500;92.405;92.405;92.3825;92.3825;488000
050424;140600;92.3825;92.39;92.3725;92.39;898000
050424;140700;92.39;92.41;92.39;92.41;928000
050424;140800;92.405;92.405;92.38;92.39;507000
050424;140900;92.3875;92.3875;92.375;92.3775;486000
050424;141000;92.3775;92.4025;92.3775;92.395;416000
050424;141100;92.385;92.395;92.3775;92.3775;510000
050424;141200;92.385;92.405;92.385;92.39;500000
050424;141300;92.385;92.3875;92.3775;92.38;533000
050424;141400;92.38;92.39;92.3775;92.38;217000
050424;141500;92.38;92.38;92.3675;92.3675;1034000
050424;141600;92.3675;92.37;92.3625;92.365;719000
050424;141700;92.3625;92.37;92.36;92.37;1331000
050424;141800;92.3675;92.37;92.36;92.3625;780000
050424;141900;92.3625;92.3725;92.36;92.3675;597000
050424;142000;92.3725;92.3825;92.37;92.38;407000
050424;142100;92.3775;92.385;92.3675;92.385;415000
050424;142200;92.385;92.3875;92.3675;92.37;934000
050424;142300;92.37;92.3725;92.365;92.37;777000
050424;142400;92.37;92.375;92.3675;92.375;698000
050424;142500;92.375;92.375;92.3725;92.375;928000
050424;142600;92.375;92.375;92.37;92.375;5731000
050424;142700;92.375;92.39;92.3725;92.39;2318000
050424;142800;92.39;92.4;92.3825;92.3975;1280000
050424;142900;92.395;92.4;92.385;92.3925;478000
050424;143000;92.39;92.3975;92.38;92.39;726000
050424;143100;92.39;92.395;92.385;92.3925;777000
050424;143200;92.3925;92.395;92.385;92.395;919000
050424;143300;92.395;92.3975;92.38;92.3975;1661000
050424;143400;92.3875;92.3925;92.3825;92.3925;477000
050424;143500;92.3925;92.395;92.3825;92.3875;556000
